id,purchase_external_id,position_external_id,item_name,offer_title,seller_name,region,unit_price,available_quantity,delivery_price,effective_unit_price,relevance_score,is_relevant,supplier_status,match_score,hard_reject_reason,match_reasons,matched_fields,mismatched_fields,delivery_type,delivery_price_type,min_order_quantity,package_quantity,used_in_calculation,taken_quantity,offer_url,risk_flags,tech_spec_confirmation_status
11,10207839,,ТОВАРЫ СТРОИТЕЛЬНЫЕ,ТОВАРЫ СТРОИТЕЛЬНЫЕ — коммерческое предложение 1,ООО Поставщик 1A,Москва,15640,1,700,16340,0.96,True,unknown,,,,,,,,,,True,1,https://example.com/mos-portal-10207839-1,low_relevance,reject
12,10207839,,ТОВАРЫ СТРОИТЕЛЬНЫЕ,ТОВАРЫ СТРОИТЕЛЬНЫЕ — коммерческое предложение 2,ООО Поставщик 1B,Москва,17020,1,900,17920,0.93,True,unknown,,,,,,,,,,False,,https://example.com/mos-portal-10207839-2,low_relevance,reject
13,10207838,,ТОВАРЫ СТРОИТЕЛЬНЫЕ,ТОВАРЫ СТРОИТЕЛЬНЫЕ — коммерческое предложение 1,ООО Поставщик 2A,Москва,496400,1,700,497100,0.96,True,unknown,,,,,,,,,,True,1,https://example.com/mos-portal-10207838-1,low_relevance,reject
14,10207838,,ТОВАРЫ СТРОИТЕЛЬНЫЕ,ТОВАРЫ СТРОИТЕЛЬНЫЕ — коммерческое предложение 2,ООО Поставщик 2B,Москва,540200,1,900,541100,0.93,True,unknown,,,,,,,,,,False,,https://example.com/mos-portal-10207838-2,low_relevance,reject
15,10207840,,ТОВАРЫ СТРОИТЕЛЬНЫЕ,ТОВАРЫ СТРОИТЕЛЬНЫЕ — коммерческое предложение 1,ООО Поставщик 3A,Москва,3300949.4,1,700,3301649.4,0.96,True,unknown,,,,,,,,,,True,1,https://example.com/mos-portal-10207840-1,low_relevance,reject
16,10207840,,ТОВАРЫ СТРОИТЕЛЬНЫЕ,ТОВАРЫ СТРОИТЕЛЬНЫЕ — коммерческое предложение 2,ООО Поставщик 3B,Москва,3592209.65,1,900,3593109.65,0.93,True,unknown,,,,,,,,,,False,,https://example.com/mos-portal-10207840-2,low_relevance,reject
17,10207841,,ТОВАРЫ СТРОИТЕЛЬНЫЕ,ТОВАРЫ СТРОИТЕЛЬНЫЕ — коммерческое предложение 1,ООО Поставщик 4A,Москва,136621.79,1,700,137321.79,0.96,True,unknown,,,,,,,,,,True,1,https://example.com/mos-portal-10207841-1,low_relevance,reject
18,10207841,,ТОВАРЫ СТРОИТЕЛЬНЫЕ,ТОВАРЫ СТРОИТЕЛЬНЫЕ — коммерческое предложение 2,ООО Поставщик 4B,Москва,148676.65,1,900,149576.65,0.93,True,unknown,,,,,,,,,,False,,https://example.com/mos-portal-10207841-2,low_relevance,reject
19,10207837,,"ТОВАРЫ ХОЗЯЙСТВЕННЫЕ, ТЕХНИКА БЫТОВАЯ","ТОВАРЫ ХОЗЯЙСТВЕННЫЕ, ТЕХНИКА БЫТОВАЯ — коммерческое предложение 1",ООО Поставщик 5A,Москва,200734.88,1,700,201434.88,0.96,True,unknown,,,,,,,,,,True,1,https://example.com/mos-portal-10207837-1,low_relevance,reject
20,10207837,,"ТОВАРЫ ХОЗЯЙСТВЕННЫЕ, ТЕХНИКА БЫТОВАЯ","ТОВАРЫ ХОЗЯЙСТВЕННЫЕ, ТЕХНИКА БЫТОВАЯ — коммерческое предложение 2",ООО Поставщик 5B,Москва,218446.78,1,900,219346.78,0.93,True,unknown,,,,,,,,,,False,,https://example.com/mos-portal-10207837-2,low_relevance,reject
